n,T
22000,98
22000,120
22000,97
22000,91
22000,81
22000,94
22000,91
22000,120
22000,130
22000,92
22000,87
22000,93
22000,97
22000,123
22000,91
22000,90
22000,90
22000,87
22000,96
22000,129
22000,100
22000,81
22000,92
22000,97
23000,86
23000,115
23000,119
23000,106
23000,90
23000,91
23000,97
23000,98
23000,117
23000,94
23000,99
23000,86
23000,93
23000,105
23000,104
23000,86
23000,97
23000,134
23000,129
23000,106
23000,117
23000,107
23000,102
23000,93
23000,94
23000,91
23000,147
23000,113
23000,90
23000,94
23000,115
23000,90
23000,93
23000,99
23000,105
23000,91
23000,104
23000,108
23000,109
23000,84
23000,90
23000,96
23000,91
23000,93
23000,125
23000,92
23000,131
23000,115
23000,101
23000,99
24000,94
24000,88
24000,105
24000,105
24000,87
24000,95
24000,93
24000,99
24000,91
24000,102
24000,101
24000,91
24000,93
24000,99
24000,96
24000,95
24000,124
24000,97
24000,102
24000,104
24000,99
24000,115
24000,96
24000,94
24000,93
24000,95
24000,95
24000,100
24000,101
24000,90
24000,93
24000,96
24000,116
24000,89
24000,112
24000,84
24000,102
24000,94
24000,103
24000,90
24000,95
24000,90
24000,102
24000,98
24000,88
24000,96
24000,95
24000,110
24000,96
24000,91
25000,111
25000,99
25000,99
25000,138
25000,92
25000,91
25000,108
25000,111
25000,104
25000,100
25000,104
25000,95
25000,112
25000,99
25000,93
25000,99
25000,90
25000,113
25000,105
25000,118
25000,96
25000,84
25000,97
25000,102
25000,102
25000,96
25000,101
25000,103
25000,97
25000,112
25000,90
25000,96
25000,121
25000,92
25000,106
25000,91
25000,89
25000,150
25000,106
25000,100
25000,88
25000,98
25000,92
25000,124
25000,93
25000,111
25000,102
25000,110
25000,123
25000,100
26000,107
26000,129
26000,94
26000,87
26000,95
26000,98
26000,109
26000,102
26000,90
26000,90
26000,91
26000,100
26000,98
26000,114
26000,102
26000,102
26000,95
26000,101
26000,110
26000,94
26000,102
26000,115
26000,87
26000,103
26000,96
26000,103
26000,109
26000,93
26000,111
26000,91
26000,104
26000,102
26000,99
26000,112
26000,106
26000,86
26000,92
26000,116
26000,103
26000,106
26000,106
26000,120
26000,114
26000,97
26000,109
26000,118
26000,120
26000,112
26000,102
26000,96
27000,113
27000,93
27000,126
27000,84
27000,104
27000,84
27000,88
27000,118
27000,99
27000,105
27000,122
27000,108
27000,83
27000,129
27000,92
27000,97
27000,111
27000,85
27000,94
27000,112
27000,102
27000,96
27000,107
27000,101
27000,96
27000,143
27000,108
27000,95
27000,87
27000,122
27000,101
27000,103
27000,109
27000,96
27000,107
27000,97
27000,105
27000,95
27000,101
27000,97
27000,102
27000,95
27000,105
27000,96
27000,93
27000,109
27000,114
27000,97
27000,99
27000,99
28000,98
28000,105
28000,112
28000,108
28000,105
28000,95
28000,96
28000,100
28000,108
28000,96
28000,94
28000,110
28000,95
28000,93
28000,113
28000,92
28000,100
28000,108
28000,95
28000,113
28000,102
28000,109
28000,105
28000,94
28000,88
28000,97
28000,90
28000,100
28000,99
28000,96
28000,99
28000,97
28000,112
28000,90
28000,93
28000,97
28000,85
28000,113
28000,96
28000,82
28000,124
28000,96
28000,89
28000,97
28000,109
28000,97
28000,96
28000,98
28000,102
28000,88
29000,112
29000,93
29000,91
29000,117
29000,120
29000,104
29000,102
29000,96
29000,105
29000,109
29000,97
29000,119
29000,102
29000,137
29000,92
29000,96
29000,109
29000,95
29000,114
29000,106
29000,97
29000,87
29000,106
29000,105
29000,106
29000,87
29000,94
29000,106
29000,110
29000,107
29000,95
29000,93
29000,106
29000,100
29000,100
29000,112
29000,101
29000,110
29000,93
29000,97
29000,97
29000,94
29000,91
29000,93
29000,107
29000,89
29000,104
29000,106
29000,113
29000,104
30000,104
30000,110
30000,126
30000,118
30000,134
30000,106
30000,92
30000,95
30000,97
30000,109
30000,119
30000,104
30000,106
30000,114
30000,107
30000,98
30000,100
30000,97
30000,107
30000,90
30000,89
30000,109
30000,113
30000,87
30000,95
30000,95
30000,91
30000,100
30000,106
30000,99
30000,105
30000,98
30000,108
30000,106
30000,99
30000,122
30000,104
30000,109
30000,101
30000,114
30000,108
30000,113
30000,92
30000,107
30000,107
30000,96
30000,110
30000,94
30000,97
30000,94
31000,108
31000,96
31000,110
31000,89
31000,93
31000,99
31000,107
31000,102
31000,98
31000,98
31000,88
31000,107
31000,90
31000,133
31000,117
31000,107
31000,121
31000,95
31000,118
31000,118
31000,133
31000,113
31000,101
31000,94
31000,108
31000,108
31000,111
31000,105
31000,97
31000,107
31000,92
31000,85
31000,116
31000,109
31000,94
31000,109
31000,95
31000,100
31000,92
31000,88
31000,99
31000,111
31000,97
31000,111
31000,87
31000,91
31000,96
31000,103
31000,90
31000,90
32000,126
32000,116
32000,92
32000,86
32000,111
32000,130
32000,91
32000,123
32000,120
32000,103
32000,122
32000,101
32000,96
32000,97
32000,97
32000,107
32000,120
32000,112
32000,100
32000,99
32000,87
32000,111
32000,133
32000,102
32000,133
32000,104
32000,96
32000,107
32000,89
32000,93
32000,108
32000,107
32000,108
32000,98
32000,123
32000,108
32000,105
32000,97
32000,108
32000,92
32000,86
32000,117
32000,121
32000,116
32000,125
32000,99
32000,106
32000,119
32000,143
32000,101
33000,112
33000,161
33000,106
33000,93
33000,106
33000,101
33000,123
33000,111
33000,107
33000,93
33000,108
33000,90
33000,114
33000,101
33000,97
33000,90
33000,124
33000,114
33000,128
33000,92
33000,98
33000,99
33000,98
33000,113
33000,107
33000,140
33000,103
33000,96
33000,108
33000,112
33000,109
33000,93
33000,98
33000,110
33000,121
33000,96
33000,91
33000,91
33000,103
33000,109
33000,112
33000,97
33000,116
33000,91
33000,96
33000,92
33000,106
33000,96
33000,92
33000,100
34000,108
34000,91
34000,125
34000,104
34000,114
34000,91
34000,103
34000,96
34000,94
34000,113
34000,85
34000,92
34000,105
34000,99
34000,106
34000,161
34000,103
34000,111
34000,93
34000,106
34000,113
34000,109
34000,94
34000,111
34000,88
34000,93
34000,101
34000,97
34000,104
34000,112
34000,106
34000,109
34000,97
34000,108
34000,106
34000,88
34000,125
34000,99
34000,106
34000,105
34000,105
34000,104
34000,123
34000,109
34000,91
34000,100
34000,127
34000,119
34000,93
34000,117
35000,100
35000,90
35000,100
35000,102
35000,101
35000,118
35000,109
35000,100
35000,95
35000,129
35000,90
35000,124
35000,109
35000,101
35000,109
35000,99
35000,92
35000,103
35000,91
35000,89
35000,98
35000,119
35000,96
35000,138
35000,102
35000,137
35000,94
35000,92
35000,104
35000,110
35000,92
35000,103
35000,100
35000,97
35000,125
35000,126
35000,114
35000,99
35000,109
35000,110
35000,98
35000,106
35000,95
35000,96
35000,103
35000,104
35000,105
35000,125
35000,103
35000,117
36000,94
36000,107
36000,103
36000,85
36000,97
36000,99
36000,93
36000,106
36000,106
36000,108
36000,122
36000,103
36000,119
36000,105
36000,107
36000,117
36000,104
36000,114
36000,107
36000,96
36000,102
36000,95
36000,104
36000,104
36000,104
36000,118
36000,102
36000,86
36000,157
36000,95
36000,103
36000,101
36000,117
36000,104
36000,95
36000,108
36000,107
36000,91
36000,95
36000,92
36000,128
36000,97
36000,116
36000,114
36000,92
36000,118
36000,127
36000,92
36000,94
36000,99
37000,101
37000,107
37000,109
37000,93
37000,107
37000,113
37000,91
37000,119
37000,95
37000,95
37000,101
37000,105
37000,105
37000,90
37000,115
37000,102
37000,104
37000,97
37000,92
37000,96
37000,138
37000,110
37000,102
37000,93
37000,104
37000,113
37000,117
37000,104
37000,111
37000,124
37000,112
37000,93
37000,95
37000,108
37000,133
37000,107
37000,86
37000,110
37000,93
37000,98
37000,113
37000,115
37000,139
37000,99
37000,91
37000,107
37000,105
37000,111
37000,100
37000,98
38000,107
38000,113
38000,100
38000,106
38000,134
38000,86
38000,100
38000,97
38000,106
38000,101
38000,104
38000,95
38000,117
38000,100
38000,100
