n,cmp
2000,1036467
2000,1056788
2000,1026048
2000,1026057
2000,1026418
2000,1030249
2000,1026555
2000,1022667
2000,1009011
2000,1036100
2000,1028386
2000,1017391
2000,1000263
2000,1030101
2000,1020198
2100,1117111
2100,1117941
2100,1126208
2100,1131178
2100,1108098
2100,1105463
2100,1116179
2100,1105006
2100,1115256
2100,1113986
2100,1110041
2100,1143665
2100,1141752
2100,1134831
2100,1114730
2100,1104056
2100,1130372
2100,1125006
2100,1099620
2100,1127494
2100,1148976
2100,1137680
2100,1099551
2100,1113069
2100,1154635
2100,1133789
2100,1126648
2100,1138533
2100,1129475
2100,1140515
2100,1119249
2100,1132475
2100,1145750
2100,1137850
2100,1136962
2100,1126114
2100,1151025
2100,1114769
2100,1103029
2100,1149007
2100,1116359
2100,1123554
2100,1142053
2100,1090420
2100,1140155
2100,1112168
2100,1121852
2100,1120646
2100,1130056
2100,1146498
2200,1230490
2200,1213705
2200,1265929
2200,1250330
2200,1213035
2200,1244802
2200,1252395
2200,1233429
2200,1224385
2200,1261953
2200,1212064
2200,1225796
2200,1214376
2200,1265635
2200,1263640
2200,1220940
2200,1244102
2200,1243458
2200,1249685
2200,1244195
2200,1222422
2200,1245151
2200,1227696
2200,1237352
2200,1243487
2200,1247325
2200,1247153
2200,1233730
2200,1233148
2200,1238454
2200,1234087
2200,1240693
2200,1228930
2200,1235695
2200,1260183
2200,1266982
2200,1258754
2200,1238891
2200,1243380
2200,1226205
2200,1244321
2200,1228650
2200,1226861
2200,1258624
2200,1214848
2200,1235220
2200,1234332
2200,1253265
2200,1261499
2200,1222876
2300,1360020
2300,1318936
2300,1327226
2300,1318231
2300,1363342
2300,1371587
2300,1382928
2300,1330696
2300,1366380
2300,1336235
2300,1319544
2300,1373749
2300,1335410
2300,1374952
2300,1330190
2300,1347678
2300,1355999
2300,1345787
2300,1311517
2300,1362534
2300,1381209
2300,1369227
2300,1356618
2300,1362395
2300,1351245
2300,1352694
2300,1356153
2300,1364182
2300,1340895
2300,1344443
2300,1340596
2300,1368452
2300,1299595
2300,1340747
2300,1371327
2300,1354601
2300,1357530
2300,1362295
2300,1345137
2300,1337969
2300,1372408
2300,1345955
2300,1387934
2300,1321035
2300,1364331
2300,1359178
2300,1345323
2300,1345089
2300,1367037
2300,1390523
2400,1507535
2400,1486219
2400,1483348
2400,1495609
2400,1455818
2400,1448322
2400,1435463
2400,1449035
2400,1484571
2400,1494608
2400,1483248
2400,1455817
2400,1444028
2400,1481990
2400,1456321
2400,1498544
2400,1464239
2400,1502095
2400,1430970
2400,1496096
2400,1486827
2400,1472893
2400,1442796
2400,1473520
2400,1460331
2400,1465181
2400,1476685
2400,1439197
2400,1471354
2400,1480846
2400,1466196
2400,1433002
2400,1513506
2400,1491587
2400,1441390
2400,1455004
2400,1460366
2400,1480140
2400,1461167
2400,1455251
2400,1456624
2400,1475345
2400,1440072
2400,1446384
2400,1481711
2400,1470630
2400,1499884
2400,1484916
2400,1440699
2400,1440249
2500,1624029
2500,1592790
2500,1621406
2500,1602222
2500,1573487
2500,1605912
2500,1572117
2500,1620399
2500,1583307
2500,1599374
2500,1569895
2500,1600705
2500,1593904
2500,1611820
2500,1603016
2500,1584051
2500,1601820
2500,1611097
2500,1639500
2500,1585951
2500,1585396
2500,1580482
2500,1605662
2500,1584906
2500,1595685
2500,1588172
2500,1627632
2500,1632708
2500,1634441
2500,1567800
2500,1581095
2500,1608917
2500,1614890
2500,1590585
2500,1602417
2500,1614951
2500,1602520
2500,1603527
2500,1602574
2500,1597573
2500,1588732
2500,1644575
2500,1590923
2500,1600420
2500,1593514
2500,1569664
2500,1585139
2500,1599632
2500,1576620
2500,1562235
2600,1740950
2600,1728642
2600,1766131
2600,1743460
2600,1720193
2600,1711055
2600,1711709
2600,1697224
2600,1731653
2600,1725781
2600,1706439
2600,1702902
2600,1708441
2600,1723869
2600,1724364
2600,1707749
2600,1716137
2600,1734838
2600,1726481
2600,1731337
2600,1751247
2600,1720895
2600,1753930
2600,1717106
2600,1722956
2600,1690100
2600,1686020
2600,1712391
2600,1730646
2600,1742489
2600,1731442
2600,1738096
2600,1757735
2600,1753791
2600,1729169
2600,1734245
2600,1739274
2600,1709571
2600,1733270
2600,1728410
2600,1750579
2600,1750113
2600,1711856
2600,1742950
2600,1753867
2600,1712692
2600,1725764
2600,1727374
2600,1698238
2600,1719981
2700,1870126
2700,1884644
2700,1865521
2700,1864224
2700,1865662
