n,D-C
20000,44701
20000,34074
20000,47179
20000,70376
20000,21894
20000,75416
20000,36254
20000,35304
20000,95183
20000,8511
20000,75257
20000,13562
20000,66462
20000,87393
20000,15556
20000,82640
20000,22908
20000,71698
20000,46815
20000,51816
20000,6057
20000,63489
20000,64623
20000,35230
20000,17582
20000,78673
20000,62106
20000,28348
20000,72744
20000,12134
20000,93858
20000,67359
20000,29823
20000,57232
20000,65168
20000,20062
20000,40108
20000,83323
20000,60938
20000,37042
20000,163241
21000,84284
21000,57377
21000,171705
21000,48755
21000,56482
21000,66816
21000,1929
21000,56520
21000,60189
21000,64329
21000,159057
21000,40547
21000,50993
21000,54045
21000,82788
21000,92993
21000,68793
21000,40401
21000,48788
21000,131502
21000,36678
21000,27233
21000,81283
21000,99585
21000,35037
21000,58118
21000,60782
21000,45608
21000,56575
21000,54455
21000,20252
21000,66574
21000,10344
21000,27448
21000,39861
21000,79685
21000,29586
21000,21723
21000,44384
21000,130909
21000,75320
21000,55811
21000,15235
21000,31561
21000,57273
21000,48555
21000,187981
21000,121803
21000,43582
21000,1850
22000,80791
22000,155100
22000,7282
22000,108338
22000,45248
22000,34131
22000,52211
22000,16999
22000,42015
22000,15448
22000,69197
22000,41419
22000,40415
22000,84973
22000,42879
22000,41058
22000,95487
22000,126692
22000,104605
22000,61238
22000,103001
22000,142327
22000,32286
22000,71354
22000,7256
22000,48472
22000,92038
22000,37824
22000,94728
22000,19325
22000,104591
22000,95324
22000,63587
22000,90950
22000,25169
22000,9568
22000,59226
22000,27727
22000,55001
22000,32645
22000,31684
22000,29124
22000,56999
22000,29136
22000,26472
22000,25992
22000,62396
22000,66819
22000,24627
22000,47434
23000,73600
23000,54037
23000,53848
23000,35054
23000,54222
23000,39512
23000,7213
23000,13729
23000,55049
23000,28945
23000,23727
23000,33102
23000,47974
23000,44056
23000,46307
23000,45977
23000,72131
23000,49446
23000,42315
23000,9050
23000,55661
23000,38161
23000,93624
23000,26420
23000,125282
23000,369
23000,35988
23000,50912
23000,69919
23000,67145
23000,89237
23000,129326
23000,60647
23000,10707
23000,26283
23000,48630
