n,U
17000,6239
17000,6260
17000,6241
17000,6225
17000,6303
17000,6307
17000,6176
17000,6278
17000,6266
17000,6203
17000,6209
17000,6209
17000,6304
17000,6288
17000,6238
17000,6255
17000,6287
17000,6288
17000,6181
17000,6231
17000,6205
17000,6226
17000,6234
17000,6249
17000,6285
17000,6277
17000,6262
17000,6243
17000,6247
17000,6218
18000,6705
18000,6653
18000,6595
18000,6653
18000,6664
18000,6605
18000,6656
18000,6531
18000,6644
18000,6593
18000,6604
18000,6652
18000,6627
18000,6592
18000,6623
18000,6649
18000,6715
18000,6687
18000,6539
18000,6635
18000,6648
18000,6609
18000,6692
18000,6627
18000,6639
18000,6651
18000,6641
18000,6602
18000,6643
18000,6595
18000,6623
18000,6689
18000,6694
18000,6741
18000,6616
18000,6589
18000,6573
18000,6650
18000,6617
18000,6666
18000,6597
18000,6664
18000,6649
18000,6636
18000,6611
18000,6666
18000,6698
18000,6585
18000,6613
18000,6652
19000,6964
19000,7040
19000,6968
19000,6979
19000,6999
19000,6969
19000,7021
19000,6900
19000,6986
19000,7000
19000,7050
19000,6957
19000,7051
19000,6994
19000,6970
19000,6987
19000,6945
19000,6999
19000,6973
19000,6955
19000,6984
19000,6910
19000,6970
19000,7016
19000,7005
19000,6996
19000,6978
19000,6977
19000,7037
19000,7013
19000,6985
19000,6992
19000,7002
19000,7031
19000,6982
19000,6929
19000,6983
19000,6943
19000,6991
19000,7060
19000,7056
19000,6950
19000,6974
19000,6952
19000,7055
19000,7005
19000,7041
19000,7046
19000,6911
19000,7042
20000,7287
20000,7359
20000,7335
20000,7335
20000,7350
20000,7390
20000,7378
20000,7385
20000,7370
20000,7273
20000,7438
20000,7333
20000,7259
20000,7327
20000,7336
20000,7435
20000,7382
20000,7362
20000,7321
20000,7341
20000,7374
20000,7329
20000,7378
20000,7380
20000,7334
20000,7319
20000,7376
20000,7336
20000,7316
20000,7336
20000,7409
20000,7379
20000,7352
20000,7347
20000,7334
20000,7366
20000,7353
20000,7352
20000,7320
20000,7366
20000,7391
20000,7331
20000,7469
20000,7396
20000,7352
20000,7445
20000,7252
20000,7388
20000,7422
20000,7414
21000,7678
21000,7673
21000,7724
21000,7684
21000,7682
21000,7673
21000,7778
21000,7722
21000,7695
21000,7684
21000,7718
21000,7764
21000,7719
21000,7691
21000,7677
21000,7732
21000,7725
21000,7866
21000,7776
21000,7753
21000,7624
21000,7735
21000,7637
21000,7716
21000,7767
21000,7789
21000,7694
21000,7831
21000,7737
21000,7635
21000,7680
21000,7726
21000,7758
21000,7722
21000,7676
21000,7718
21000,7707
21000,7691
21000,7736
21000,7648
21000,7644
21000,7744
21000,7743
21000,7769
21000,7727
21000,7735
21000,7719
21000,7696
21000,7698
21000,7711
22000,8076
22000,8065
22000,8047
22000,8017
22000,8180
22000,8147
22000,8097
22000,8004
22000,8144
22000,8126
22000,8096
22000,8114
22000,8165
22000,8121
22000,8136
22000,8064
22000,8064
22000,8076
22000,8077
22000,8116
22000,8102
22000,8203
22000,8113
22000,8069
22000,8100
22000,8135
22000,8017
22000,8103
22000,8147
22000,8070
22000,8140
22000,8015
22000,8065
22000,8085
22000,8015
22000,8091
22000,8113
22000,8027
22000,8139
22000,8145
22000,8020
22000,8140
22000,8081
22000,8052
22000,8105
22000,8074
22000,8064
22000,8138
22000,8081
22000,8179
23000,8512
23000,8408
23000,8509
23000,8454
23000,8571
23000,8385
23000,8397
23000,8460
23000,8441
23000,8445
23000,8391
23000,8497
23000,8494
23000,8381
23000,8443
23000,8512
23000,8442
23000,8428
23000,8372
23000,8424
23000,8425
23000,8502
23000,8451
23000,8449
23000,8441
23000,8437
23000,8463
23000,8481
23000,8390
23000,8519
23000,8519
23000,8425
23000,8460
23000,8362
23000,8396
23000,8358
23000,8473
23000,8429
23000,8441
23000,8479
23000,8478
23000,8515
23000,8492
23000,8417
23000,8467
23000,8447
23000,8470
23000,8452
23000,8409
23000,8465
24000,8841
24000,8868
24000,8797
24000,8701
24000,8873
24000,8905
24000,8845
24000,8834
24000,8820
24000,8839
24000,8782
24000,8769
24000,8758
24000,8748
24000,8855
24000,8808
24000,8803
24000,8811
24000,8817
24000,8839
24000,8779
24000,8810
24000,8735
24000,8862
24000,8851
24000,8829
24000,8772
24000,8842
24000,8786
24000,8825
24000,8777
