n,C
18000,200471
18000,241327
18000,165924
18000,183715
18000,204502
18000,158173
18000,191506
18000,191585
18000,192837
18000,173482
18000,195444
18000,202615
18000,162094
18000,172431
18000,189216
18000,188970
18000,205900
18000,173371
18000,194137
18000,185038
18000,175971
18000,199513
18000,190213
18000,173717
19000,203001
19000,163318
19000,197605
19000,171964
19000,220365
19000,189085
19000,216096
19000,286589
19000,161346
19000,206724
19000,177109
19000,181884
19000,183067
19000,201829
19000,232308
19000,213265
19000,202054
19000,204971
19000,165342
19000,195665
19000,201091
19000,246419
19000,191357
19000,188905
19000,172921
19000,178305
19000,226608
19000,234179
19000,179472
19000,199579
19000,211308
19000,197208
19000,161686
19000,187738
19000,173194
19000,195036
19000,179684
19000,190108
19000,173691
19000,300143
19000,173914
19000,243155
19000,213330
19000,206036
19000,174438
19000,175644
19000,213626
19000,203220
19000,209330
19000,194296
20000,221984
20000,191597
20000,235466
20000,256990
20000,241520
20000,210306
20000,250046
20000,204419
20000,202137
20000,206894
20000,211581
20000,224415
20000,190803
20000,217327
20000,191891
20000,234153
20000,210577
20000,231701
20000,224280
20000,203482
20000,213496
20000,179147
20000,190642
20000,233602
20000,203980
20000,239778
20000,178705
20000,207656
20000,206251
20000,258529
20000,201417
20000,214938
20000,212240
20000,223994
20000,182525
20000,210775
20000,215805
20000,213309
20000,224802
20000,190410
20000,195155
20000,268412
20000,218245
20000,185119
20000,224545
20000,215611
20000,200455
20000,168575
20000,210612
20000,186599
21000,192110
21000,215891
21000,179738
21000,223045
21000,191147
21000,237144
21000,247873
21000,223053
21000,200424
21000,206946
21000,185245
21000,251466
21000,187684
21000,224539
21000,203876
21000,193754
21000,198360
21000,210102
21000,221844
21000,202774
21000,260004
21000,217278
21000,184268
21000,279864
21000,249608
21000,212373
21000,235770
21000,200465
21000,200526
21000,201693
21000,254684
21000,249758
21000,251379
21000,238464
21000,231737
21000,261147
21000,242657
21000,235098
21000,254559
21000,198688
21000,247846
21000,217031
21000,329068
21000,219876
21000,196842
21000,217741
21000,218162
21000,196801
21000,223261
21000,284595
22000,198172
22000,218021
22000,282299
22000,256956
22000,230768
22000,273737
22000,225219
22000,265847
22000,222242
22000,304076
22000,240275
22000,267830
22000,216530
22000,233036
22000,210010
22000,282910
22000,191853
22000,236443
22000,201701
22000,243741
22000,234325
22000,243364
22000,268668
22000,243179
22000,266616
22000,228011
22000,209930
22000,278509
22000,209776
22000,240980
22000,247845
22000,202542
22000,194825
22000,246760
22000,250080
22000,270810
22000,208028
22000,230986
22000,221380
22000,211028
22000,253277
22000,250769
22000,222594
22000,249775
22000,242339
22000,210039
22000,224746
22000,250606
22000,257498
22000,210342
23000,213108
23000,238799
23000,246265
23000,231937
23000,227156
23000,248821
23000,330330
23000,267857
23000,215403
23000,240239
23000,270641
23000,272582
23000,230878
23000,217346
23000,268509
23000,264517
23000,235918
23000,265181
23000,208826
23000,297546
23000,263847
23000,270603
23000,243217
23000,283033
23000,230054
23000,278877
23000,286742
23000,223820
23000,234653
23000,237323
23000,225274
23000,241122
23000,235125
23000,305637
23000,383501
23000,248174
23000,292317
23000,217868
23000,270470
23000,273868
23000,201852
23000,265147
23000,251475
23000,263909
23000,260026
23000,222757
23000,208431
23000,253511
23000,336981
23000,229026
24000,247619
24000,312089
24000,241254
24000,347729
24000,272790
24000,291137
24000,313925
24000,249608
24000,234130
24000,225705
24000,236972
24000,265925
24000,241933
24000,218622
24000,273271
24000,240501
24000,303849
24000,305061
24000,239326
24000,237768
24000,238265
24000,283053
24000,222160
24000,248919
24000,259798
24000,250985
24000,286185
24000,231916
24000,296887
24000,202466
24000,241874
24000,267897
24000,238223
24000,282902
24000,260352
24000,270525
24000,319977
24000,243712
24000,215692
24000,263485
24000,253238
24000,258508
24000,246899
24000,249137
24000,240379
24000,265093
24000,259162
24000,233186
24000,253983
24000,238665
25000,274708
25000,318325
25000,264908
25000,229527
25000,287262
25000,253105
25000,267787
25000,240598
25000,316292
25000,292019
25000,228723
25000,294091
25000,256664
25000,239155
25000,268973
25000,243628
25000,268893
25000,251856
25000,228350
25000,344222
25000,258910
25000,252558
25000,320115
25000,289918
25000,260069
25000,296555
25000,280357
25000,287168
25000,265089
25000,350017
25000,244579
25000,287216
25000,246088
25000,274531
25000,272838
25000,287486
25000,305096
25000,259930
25000,285410
25000,274394
25000,245838
25000,261022
25000,267799
25000,238377
25000,250252
25000,269397
25000,281651
25000,250546
25000,241247
25000,249095
26000,288253
26000,367541
26000,259598
26000,282418
26000,262904
26000,334472
26000,259931
26000,261757
26000,322431
26000,245155
26000,275437
26000,285996
26000,319211
26000,337570
26000,254628
26000,385520
26000,229103
26000,239268
26000,256593
26000,299699
26000,278007
26000,303644
26000,297739
26000,232611
26000,277199
26000,288774
26000,268749
26000,231049
26000,283925
26000,271355
26000,353242
26000,243440
26000,267087
26000,304513
26000,286723
26000,272998
26000,245591
26000,276311
26000,252629
26000,269984
26000,302393
26000,293431
26000,268489
26000,280138
26000,220331
26000,454590
26000,306875
26000,296014
26000,287066
26000,264124
27000,249880
27000,309572
27000,307159
27000,355840
27000,260111
27000,269711
27000,269277
27000,231736
27000,291903
27000,264254
27000,261081
27000,284591
27000,257400
27000,298077
27000,279239
27000,279744
27000,320376
27000,359869
27000,312299
27000,311197
27000,279784
27000,314377
27000,271314
27000,251279
27000,267521
27000,303722
27000,293071
27000,287995
27000,261266
27000,323315
27000,295028
27000,278002
27000,255581
27000,233187
27000,262297
27000,236389
27000,290158
27000,245644
27000,375575
27000,345692
27000,239488
27000,302334
27000,281436
27000,269252
27000,287961
27000,309051
27000,429900
27000,295707
27000,276178
27000,255100
28000,267198
28000,246260
28000,306640
28000,319798
28000,300865
28000,299569
28000,317750
28000,323479
28000,267328
28000,268516
28000,260380
28000,281289
28000,263972
28000,304449
28000,384280
28000,358631
28000,354760
28000,321157
28000,301107
28000,261213
28000,257489
28000,280670
28000,270032
28000,257332
28000,271282
28000,258328
28000,282132
28000,349005
28000,290164
28000,400119
28000,307323
28000,298630
28000,391290
28000,340213
28000,375134
28000,306814
28000,278551
28000,319722
28000,258439
28000,311640
28000,312526
28000,287635
28000,296426
28000,305666
28000,284172
28000,270891
28000,362851
28000,324528
28000,302732
28000,313956
29000,375753
29000,333986
29000,302523
29000,315119
29000,278815
29000,339380
29000,371620
29000,308041
29000,322634
29000,379648
29000,292041
29000,283176
29000,352164
29000,268315
29000,329916
29000,319149
29000,253330
29000,279847
29000,326101
29000,306080
29000,306418
29000,284579
29000,307820
29000,287709
29000,280018
29000,391474
29000,317623
29000,311302
29000,327944
29000,314582
29000,347433
29000,256847
29000,306142
29000,288972
29000,302861
29000,314122
29000,297555
29000,403237
29000,321338
29000,349235
29000,302888
29000,257161
29000,333939
29000,270485
29000,321532
29000,313866
29000,397043
29000,359094
29000,325141
29000,260834
30000,367486
30000,310849
30000,330372
30000,377785
30000,364682
30000,291093
30000,340774
30000,325618
30000,343169
30000,316019
30000,306061
30000,282288
30000,321445
30000,298582
30000,300167
30000,312765
30000,388756
30000,279530
30000,327653
30000,352711
30000,333768
30000,275615
30000,357436
30000,305786
30000,305860
30000,357333
30000,306176
30000,305916
30000,371510
30000,371745
30000,364792
30000,325919
30000,298984
30000,286908
30000,376949
30000,375301
30000,371466
30000,301860
30000,280731
30000,362848
30000,339023
30000,307295
30000,342127
30000,407145
30000,297710
30000,327413
30000,303934
30000,314976
30000,406694
30000,303034
31000,282420
31000,377735
31000,327593
31000,332844
31000,294289
31000,348081
31000,301333
31000,338413
31000,275133
31000,340814
31000,393120
31000,361247
31000,325958
31000,346421
31000,392099
31000,405986
31000,365771
31000,326900
31000,316125
31000,378509
31000,362071
31000,304120
31000,356748
31000,299764
31000,300921
31000,299212
31000,322241
31000,279089
31000,313964
31000,359288
31000,349915
31000,315000
31000,324284
31000,341568
31000,359217
31000,303016
31000,361510
31000,334676
31000,299552
31000,335056
31000,340150
31000,426153
31000,336879
31000,349636
31000,275953
31000,348624
31000,281088
31000,387849
31000,385166
31000,293616
32000,393133
32000,318644
32000,326002
32000,319124
32000,440180
32000,319600
32000,345636
32000,400248
32000,439872
32000,315091
32000,382653
32000,349632
32000,414604
32000,376044
32000,368902
32000,324049
32000,375122
32000,322640
32000,340893
32000,325485
32000,297892
32000,314617
32000,353147
32000,388186
32000,321309
32000,365150
32000,360983
32000,315777
32000,329302
32000,292974
32000,337726
32000,382836
32000,308818
32000,307756
32000,345258
32000,400043
32000,458822
32000,353385
32000,317688
32000,364415
32000,395809
32000,279178
32000,339777
32000,353186
32000,328986
32000,326569
32000,430624
32000,344107
32000,361143
32000,376615
33000,339606
33000,372451
33000,361219
33000,329688
33000,353483
33000,373344
33000,428639
33000,370840
33000,384472
33000,311906
33000,397080
33000,345564
33000,332552
33000,290019
33000,397020
33000,415061
33000,321344
33000,459754
33000,418424
33000,390363
33000,362859
33000,368068
33000,353320
33000,315058
33000,352397
33000,405799
33000,313468
33000,331914
33000,320915
33000,380216
33000,415798
33000,409144
33000,352960
33000,559134
33000,412686
33000,302411
33000,342319
33000,331932
33000,329717
33000,327707
33000,319401
33000,392603
33000,346016
33000,394541
33000,355990
33000,456579
33000,312222
33000,356814
33000,337009
33000,358183
34000,321441
34000,371769
34000,358390
34000,374034
34000,432033
34000,317504
34000,365982
34000,397609
34000,347216
34000,376148
34000,312329
34000,376724
34000,382695
34000,341485
34000,370853
34000,356426
34000,346520
34000,318513
34000,336945
34000,344543
34000,353544
34000,425158
34000,350169
34000,403335
34000,403333
34000,338602
34000,476959
34000,433476
34000,427312
34000,396199
34000,390748
34000,300616
34000,342070
34000,390558
34000,358630
34000,332835
34000,476840
34000,373934
34000,402334
34000,367049
34000,343315
34000,396509
34000,440997
34000,348629
34000,382384
34000,383726
34000,439587
34000,501098
34000,407259
34000,398632
35000,479207
35000,437388
35000,369317
35000,340126
35000,377465
35000,440327
35000,350796
35000,326875
35000,341761
35000,375704
35000,356109
35000,336077
35000,362493
35000,397783
35000,434937
35000,425065
35000,300119
35000,405309
35000,367484
35000,411049
35000,450837
35000,347959
35000,434349
35000,316435
35000,370740
35000,378300
35000,375981
35000,503519
35000,364970
35000,359561
35000,377565
35000,382143
35000,329560
35000,411628
35000,356352
35000,362791
35000,414866
35000,352730
35000,328624
35000,387395
35000,395773
35000,327381
35000,363038
35000,365032
35000,363049
35000,318042
35000,466248
35000,384195
35000,358710
35000,385241
36000,364528
36000,406137
36000,440207
36000,422316
36000,376475
36000,392144
36000,388847
36000,471444
36000,440444
36000,417303
36000,462403
36000,365242
36000,407370
36000,332204
36000,416771
36000,520450
36000,419500
36000,418679
36000,421430
36000,369193
36000,389107
36000,448171
36000,419019
36000,414365
36000,403429
36000,346615
36000,436173
36000,352074
36000,389304
36000,354839
36000,455776
36000,459136
36000,452819
36000,416683
36000,398751
36000,444524
36000,443274
36000,371326
36000,422569
36000,398319
36000,408901
36000,453317
36000,420354
36000,387898
36000,371804
36000,379073
36000,381223
36000,459751
36000,391819
36000,343454
37000,356293
37000,393049
37000,361078
37000,392425
37000,359285
37000,374354
37000,397770
37000,441560
37000,416591
37000,416277
37000,334154
37000,384229
37000,497301
37000,344516
37000,367274
37000,413414
37000,437590
37000,426217
37000,343994
37000,350903
37000,450786
37000,369238
37000,360637
37000,396355
37000,390312
37000,389425
37000,392350
37000,512251
37000,454897
37000,347679
37000,438418
37000,348381
37000,433337
37000,485847
37000,471264
37000,396972
37000,402752
37000,448343
37000,396173
37000,392387
37000,385279
37000,416960
37000,380153
37000,350583
37000,388916
37000,432803
37000,423890
37000,431115
37000,378908
37000,469549
38000,378075
38000,378260
38000,383876
38000,370850
38000,406743
38000,401988
38000,372927
38000,393932
38000,430371
38000,364852
38000,376267
38000,388194
38000,398194
38000,407685
38000,459660
38000,443778
38000,386526
38000,427021
38000,455007
38000,415078
38000,414190
38000,410479
38000,405204
38000,371125
38000,384835
38000,446750
38000,371169
38000,346169
38000,376231
38000,428190
38000,365782
38000,428364
38000,348540
38000,418470
38000,328046
38000,380015
38000,452502
38000,429904
38000,410197
38000,471439
38000,353034
38000,470919
38000,514143
38000,441081
38000,385431
38000,424209
38000,440277
38000,397590
38000,441247
38000,382867
39000,389949
39000,389742
39000,359948
39000,403013
39000,467075
39000,589515
39000,524584
39000,468402
39000,447560
39000,541056
39000,433658
39000,459040
39000,381929
39000,425982
39000,396503
39000,551462
39000,373376
39000,404341
39000,462435
39000,404414
39000,487572
39000,544188
39000,429302
39000,544949
39000,434764
39000,455808
39000,416008
39000,456908
39000,372854
39000,423752
39000,507011
39000,505060
39000,397913
39000,415150
39000,440239
39000,517814
39000,496316
39000,423464
39000,460827
39000,472203
39000,446139
39000,441385
39000,399132
39000,431036
39000,398320
39000,443989
39000,522244
39000,466709
39000,503598
39000,415172
40000,430139
40000,455191
40000,400113
40000,398485
40000,430287
40000,426720
40000,430860
40000,432762
