n,C-D
17000,75520
17000,16600
17000,63456
17000,55031
17000,73888
17000,10335
17000,87497
17000,70152
17000,15551
17000,11569
17000,12263
17000,9689
17000,88643
17000,35603
17000,46846
17000,11112
17000,10448
17000,44277
17000,75793
17000,45906
17000,63053
17000,62993
17000,48467
17000,36011
17000,217
17000,5613
17000,19063
17000,13564
17000,95793
17000,21278
17000,25646
17000,58389
17000,46679
17000,31028
17000,42890
17000,5956
17000,15766
17000,35154
17000,51371
17000,85074
17000,33638
17000,51210
17000,48952
17000,16695
17000,24813
17000,25347
17000,9253
17000,54894
17000,26380
18000,41939
18000,49006
18000,26159
18000,52959
18000,15273
18000,34126
18000,1056
18000,67008
18000,96387
18000,76705
18000,41440
18000,10854
18000,42989
18000,68195
18000,29939
18000,20187
18000,86214
18000,49531
18000,88331
18000,61462
18000,39351
18000,65273
18000,33517
18000,40664
18000,60741
18000,77958
18000,37348
18000,109760
18000,102449
18000,47010
18000,5175
18000,26387
18000,37226
18000,75294
18000,10363
18000,15263
18000,26156
18000,64080
18000,10056
18000,72609
18000,86828
18000,58055
18000,33660
18000,42985
18000,85719
18000,12586
18000,15646
18000,5394
18000,80241
18000,8458
19000,72815
19000,33234
19000,2711
19000,82151
19000,19185
19000,53403
19000,39742
19000,78558
19000,34523
19000,56321
19000,36172
19000,43189
19000,134613
19000,23292
19000,63496
19000,47284
19000,94422
19000,51178
19000,99572
19000,5965
19000,37672
19000,40274
19000,76912
19000,42135
19000,24367
19000,19523
19000,112095
19000,56645
19000,42835
19000,26251
19000,45687
19000,45751
19000,31370
19000,31852
19000,71392
19000,44611
19000,52014
19000,31769
19000,84408
19000,79440
19000,63556
19000,51126
19000,43683
19000,37946
19000,103852
19000,41334
19000,46741
19000,17278
19000,6515
19000,58769
20000,74400
20000,48984
20000,21854
20000,33330
20000,128037
20000,68795
20000,54641
20000,45637
20000,66820
20000,41538
20000,61208
20000,37594
20000,10801
20000,19361
20000,8082
20000,27730
20000,10133
20000,46115
20000,49021
20000,56902
20000,24826
20000,14025
20000,67551
20000,33623
20000,90442
20000,102602
20000,20790
20000,17451
20000,80372
20000,62638
20000,37536
20000,14837
20000,1790
20000,57643
20000,43755
20000,58679
20000,37154
20000,7216
20000,415
20000,63360
20000,104394
20000,47857
20000,104785
20000,31890
20000,76709
20000,61815
20000,49236
20000,21059
20000,19686
20000,81581
21000,94203
21000,24617
21000,10406
21000,35898
21000,107925
21000,39277
21000,39113
21000,44961
21000,44202
21000,20875
21000,153560
21000,75915
21000,66907
21000,39212
21000,48995
21000,53513
21000,8435
21000,103066
21000,61854
21000,19667
21000,26803
21000,42718
21000,28758
21000,47482
21000,34407
